idNumber	idName	accountType	reasonHacker	reasonSpam
35456922	9237074	user	TRUE	FALSE
42925988	572169725	user	TRUE	FALSE
20430881	66coder66	user	TRUE	FALSE
44671817	adminliushao	user	TRUE	FALSE
26041815	AfroTriffid	user	TRUE	FALSE
23255163	ai2101039	user	TRUE	FALSE
2076517	a-jie	user	TRUE	FALSE
	AndroidLMY	user	TRUE	FALSE
	anfreedomfighter	user	TRUE	FALSE
	annie2017	user	TRUE	FALSE
	AnswerNo2	user	TRUE	FALSE
	AresCool	user	TRUE	FALSE
	atongmuu	user	TRUE	FALSE
	attliania	user	TRUE	FALSE
	awaytomoney	user	TRUE	FALSE
	awesomezz	user	TRUE	FALSE
	baddadbad	user	TRUE	FALSE
	beikencat	user	TRUE	FALSE
	bestwishesforu	user	TRUE	FALSE
	BeyondTheBlade	user	TRUE	FALSE
	bgcssgo	user	TRUE	FALSE
	bgdak	user	TRUE	FALSE
	bigrv	user	TRUE	FALSE
	blumas	user	TRUE	FALSE
	BryanSharp	user	TRUE	FALSE
	bulunita	user	TRUE	FALSE
	bunoneclome	user	TRUE	FALSE
	bustana	user	TRUE	FALSE
	cantfinda	user	TRUE	FALSE
	carvaldo	user	TRUE	FALSE
	chashaoliu	user	TRUE	FALSE
	ChasonMei	user	TRUE	FALSE
	chengquan223	user	TRUE	FALSE
	chenzheLucky	user	TRUE	FALSE
	Chinazi1989	user	TRUE	FALSE
	Chooin	user	TRUE	FALSE
	chuanzhou1992	user	TRUE	FALSE
	Citizen-L	user	TRUE	FALSE
	cnjy	user	TRUE	FALSE
	colloewin	user	TRUE	FALSE
	Constantine3	user	TRUE	FALSE
	CrDym	user	TRUE	FALSE
	cutepigg	user	TRUE	FALSE
	cyuanxin	user	TRUE	FALSE
	dadabutong	user	TRUE	FALSE
	dameiwang	user	TRUE	FALSE
	davidjoins	user	TRUE	FALSE
	DaYinTeamCode	user	TRUE	FALSE
	DDDDanny	user	TRUE	FALSE
	denglixixi	user	TRUE	FALSE
	dengyuhan	user	TRUE	FALSE
	dev-chee	user	TRUE	FALSE
	DevelopmentEngineer-DWQ	user	TRUE	FALSE
	dhaudha	user	TRUE	FALSE
	diguachaoren	user	TRUE	FALSE
	DomonJi	user	TRUE	FALSE
	dongyingt	user	TRUE	FALSE
	donotloseme	user	TRUE	FALSE
	dtwen-mk	user	TRUE	FALSE
	duorap	user	TRUE	FALSE
	edenmeng	user	TRUE	FALSE
	enmaoFu	user	TRUE	FALSE
	eric1Wang	user	TRUE	FALSE
	erricksong	user	TRUE	FALSE
	estebanhernande	user	TRUE	FALSE
	ExcCW	user	TRUE	FALSE
	eyt262	user	TRUE	FALSE
	fahddd	user	TRUE	FALSE
	fanpegcheng	user	TRUE	FALSE
	fatcatcat	user	TRUE	FALSE
	fenglima	user	TRUE	FALSE
	fengssboy	user	TRUE	FALSE
	fershimishi	user	TRUE	FALSE
	FightCounterfeits	user	TRUE	FALSE
	filelife	user	TRUE	FALSE
	findwayto	user	TRUE	FALSE
	fireflyi	user	TRUE	FALSE
	Fireflyi	user	TRUE	FALSE
	firehotname	user	TRUE	FALSE
	foolbirds	user	TRUE	FALSE
	formerliu	user	TRUE	FALSE
	forthedreamgirl	user	TRUE	FALSE
	forthegood	user	TRUE	FALSE
	forthekr	user	TRUE	FALSE
	freemansity	user	TRUE	FALSE
	FunkyPantss	user	TRUE	FALSE
	ganmaver	user	TRUE	FALSE
	gdky005	user	TRUE	FALSE
	gengxin-Lin	user	TRUE	FALSE
	genshuoChueng	user	TRUE	FALSE
	getit1991	user	TRUE	FALSE
	ghajdfa	user	TRUE	FALSE
	ghnor	user	TRUE	FALSE
	ghost	user	TRUE	FALSE
	GhostXMR	user	TRUE	FALSE
	gislu	user	TRUE	FALSE
	goalph	user	TRUE	FALSE
	godlikewangjun	user	TRUE	FALSE
	godniu	user	TRUE	FALSE
	goforthe	user	TRUE	FALSE
	goodbugs	user	TRUE	FALSE
	googlewebb	user	TRUE	FALSE
	Grouvers	user	TRUE	FALSE
	gsqiang	user	TRUE	FALSE
	guagntoushu	user	TRUE	FALSE
	guominpu	user	TRUE	FALSE
