id	displayName	reasonAdvertisement	reasonBilk	reasonSpam
8bitfuture		TRUE	FALSE	FALSE
50watts		TRUE	FALSE	FALSE
1000drawings		TRUE	FALSE	FALSE
accio-shitpost		TRUE	FALSE	FALSE
actualteenadultteen		TRUE	FALSE	FALSE
adrenaline		TRUE	FALSE	FALSE
aesthetic-ulzzang		TRUE	FALSE	FALSE
agathexu		TRUE	FALSE	FALSE
aikawake		TRUE	FALSE	FALSE
aleyma		TRUE	FALSE	FALSE
algae17		TRUE	FALSE	FALSE
all-manner-of-goodies		TRUE	FALSE	FALSE
allahlas		TRUE	FALSE	FALSE
allforbts		TRUE	FALSE	FALSE
allmesopotamia		TRUE	FALSE	FALSE
allthingseurope		TRUE	FALSE	FALSE
alpha-beta-gamer		TRUE	FALSE	FALSE
amateurgore		TRUE	FALSE	FALSE
amedoodleanime		TRUE	FALSE	FALSE
amnestyusa		TRUE	FALSE	FALSE
amyokuda		TRUE	FALSE	FALSE
angela910617		TRUE	FALSE	FALSE
ann-airam-zu		TRUE	FALSE	FALSE
aotus		TRUE	FALSE	FALSE
aptbs		TRUE	FALSE	FALSE
archatlas		TRUE	FALSE	FALSE
archimaps		TRUE	FALSE	FALSE
architecturalmodels		TRUE	FALSE	FALSE
archiveofaffinities		TRUE	FALSE	FALSE
archivesofamericanart		TRUE	FALSE	FALSE
arcticmuseum		TRUE	FALSE	FALSE
aredotna		TRUE	FALSE	FALSE
arianareines		TRUE	FALSE	FALSE
arthistorycq		TRUE	FALSE	FALSE
artruby		TRUE	FALSE	FALSE
ashcheng1118		TRUE	FALSE	FALSE
astound		TRUE	FALSE	FALSE
asverna		TRUE	FALSE	FALSE
augustguu		TRUE	FALSE	FALSE
awwww-cute		TRUE	FALSE	FALSE
azspot		TRUE	FALSE	FALSE
babyanimalgifs		TRUE	FALSE	FALSE
babyhappypants		TRUE	FALSE	FALSE
backroadshaiku		TRUE	FALSE	FALSE
beautifulmars		TRUE	FALSE	FALSE
beautifultype		TRUE	FALSE	FALSE
beauwrld		TRUE	FALSE	FALSE
belafrank		TRUE	FALSE	FALSE
ben-levin		TRUE	FALSE	FALSE
benlowy		TRUE	FALSE	FALSE
betterme-magazine		TRUE	FALSE	FALSE
beyoncescock		TRUE	FALSE	FALSE
bigcartel		TRUE	FALSE	FALSE
bigeyesliu		TRUE	FALSE	FALSE
bijan		TRUE	FALSE	FALSE
biodiverseed		TRUE	FALSE	FALSE
biomedicalephemera		TRUE	FALSE	FALSE
blacktwittercomedy		TRUE	FALSE	FALSE
blakegopnik		TRUE	FALSE	FALSE
blark-and-son		TRUE	FALSE	FALSE
bled		TRUE	FALSE	FALSE
blouinartinfo		TRUE	FALSE	FALSE
bob-belcher		TRUE	FALSE	FALSE
bobbymiller		TRUE	FALSE	FALSE
books-n-quotes		TRUE	FALSE	FALSE
boyswithbeardswithcats		TRUE	FALSE	FALSE
bpod-mrc		TRUE	FALSE	FALSE
breathtakingdestinations		TRUE	FALSE	FALSE
brewyork		TRUE	FALSE	FALSE
brightlightsloudnoises		TRUE	FALSE	FALSE
brokenshipsla		TRUE	FALSE	FALSE
bsy1235422		TRUE	FALSE	FALSE
buggirl		TRUE	FALSE	FALSE
buildingmuseum		TRUE	FALSE	FALSE
bureaubetak		TRUE	FALSE	FALSE
burgerrecords		TRUE	FALSE	FALSE
businessinsider		TRUE	FALSE	FALSE
butchhartman		TRUE	FALSE	FALSE
buzzfeed		TRUE	FALSE	FALSE
cabinporn		TRUE	FALSE	FALSE
cagetheelephantofficial		TRUE	FALSE	FALSE
camrenbicondova		TRUE	FALSE	FALSE
carinteriors		TRUE	FALSE	FALSE
cartoonpolitics		TRUE	FALSE	FALSE
carudamon119		TRUE	FALSE	FALSE
cat-cosplay		TRUE	FALSE	FALSE
cenchempics		TRUE	FALSE	FALSE
centuriespast		TRUE	FALSE	FALSE
cgtnofficial		TRUE	FALSE	FALSE
charcoaled-roses		TRUE	FALSE	FALSE
chgreenblatt		TRUE	FALSE	FALSE
chicagohistorymuseum		TRUE	FALSE	FALSE
chinghs-blog		TRUE	FALSE	FALSE
chrissnoop		TRUE	FALSE	FALSE
chromeography		TRUE	FALSE	FALSE
cmog		TRUE	FALSE	FALSE
cnet		TRUE	FALSE	FALSE
coastmodernhangout		TRUE	FALSE	FALSE
codeorg		TRUE	FALSE	FALSE
coffeemademedoit		TRUE	FALSE	FALSE
color-palettes		TRUE	FALSE	FALSE
coltre		TRUE	FALSE	FALSE
comusooo		TRUE	FALSE	FALSE
continuations		TRUE	FALSE	FALSE
coolcatteacher		TRUE	FALSE	FALSE
coral		TRUE	FALSE	FALSE
corgiaddict		TRUE	FALSE	FALSE
cornelluniversity		TRUE	FALSE	FALSE
courtenaybird		TRUE	FALSE	FALSE
craftdiscoveries		TRUE	FALSE	FALSE
cranquis		TRUE	FALSE	FALSE
crazytoudao		TRUE	FALSE	FALSE
creationtempo		TRUE	FALSE	FALSE
cschoonover		TRUE	FALSE	FALSE
cyenping		TRUE	FALSE	FALSE
daily-front-row		TRUE	FALSE	FALSE
dailyhangover		TRUE	FALSE	FALSE
dailykos		TRUE	FALSE	FALSE
dailyotter		TRUE	FALSE	FALSE
dailyvice		TRUE	FALSE	FALSE
danger		TRUE	FALSE	FALSE
dbareactions		TRUE	FALSE	FALSE
deathspraycustom		TRUE	FALSE	FALSE
debbyryan		TRUE	FALSE	FALSE
deeplifequotes		TRUE	FALSE	FALSE
defjamblr		TRUE	FALSE	FALSE
dennys		TRUE	FALSE	FALSE
depressingxthings		TRUE	FALSE	FALSE
dezeen		TRUE	FALSE	FALSE
did-you-kno		TRUE	FALSE	FALSE
